,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2807932,,373000,2019-09-08,Sold,,,8,,,,,,/details/8729-los-olivas-ct-stockton-ca-95210-2807932-o_1256,,,auctioned,Occupied,True,337,,,,2807932,,,SFR,,,Pending,,AD56612,398507,,1969
2805944,,610000,2019-09-11,Unknown,2,2,0,True,380963.79,610000,False,995,/details/204-compton-cir-apt-c-san-ramon-ca-94583-2805944-e_13391a,False,0.01,auctioned,,False,498,204 COMPTON CIR APT C,San Ramon,Contra Costa,2805944,Occupied,CA,Condo,94583,22,Completed - Sold to 3rd Party,True,AE3003,393258,Live,1984
2801984,,703000,2019-08-19,Sold,,,14,,,,,,/details/303-daybreak-court-san-ramon-ca-94583-2801984-o_1253l,,,auctioned,Vacant,True,6289,,,,2801984,,,Townhouse,,,Sold,,AI78332,388967,,1995
2828519,,396000,2019-08-25,Sold,,,18,,,,,,/details/10237-countryside-way-sacramento-ca-95827-2828519-o_1254,,,auctioned,Vacant,True,1740,,,,2828519,,,SFR,,,Sold,,AI56501,392248,,1979
2842068,,421000,2019-10-08,Gone,2,4,0,True,257229.9,421000,False,1621,/details/9200-parducci-way-sacramento-ca-95829-2842068-e_13599,False,0.13,auctioned,,False,488,9200 PARDUCCI WAY,Sacramento,Sacramento,2842068,Occupied,CA,SFR,95829,18,Completed - Sold to 3rd Party,True,ZW2037,386312,Live,1997
2843871,,414000,2019-10-08,Gone,2,4,0,True,195000.0,414000,False,1483,/details/4338-hedge-ave-sacramento-ca-95826-2843871-e_13599,False,0.1,auctioned,,False,556,4338 HEDGE AVE,Sacramento,Sacramento,2843871,Occupied,CA,SFR,95826,23,Completed - Sold to 3rd Party,True,ZW2041,386312,Live,1998
2840427,,511000,2019-10-09,Gone,1,2,0,True,360715.15,511000,False,747,/details/118-de-witt-ave-napa-ca-94558-2840427-e_13599,False,0.13,auctioned,,False,603,118 DE WITT AVE,Napa,Napa,2840427,Occupied,CA,SFR,94558,8,Completed - Sold to 3rd Party,True,AC2003,394017,Live,1941
2845969,,Not Available,2019-10-08,Gone,1,2,0,True,240244.27,,False,1477,/details/5200-20th-avenue-sacramento-ca-95820-2845969-e_13599,False,0.29,auctioned,,False,460,5200 20TH AVENUE,Sacramento,Sacramento,2845969,Occupied,CA,SFR,95820,18,Completed - Sold to 3rd Party,True,ZW2057,386312,Live,1922
1407656,,4542000,2019-10-01,Sold subject to,,,9,,,,,,/details/50-sandra-road-hillsborough-ca-94010-1407656-o_1261l,,,auctioned,Vacant,True,11329,,,,1407656,,,SFR,,,Pending,,YE14329,400416,,1961
2820641,,795000,2019-09-30,Sold,,,7,,,,,,/details/575-sonoma-street-san-marcos-ca-92078-2820641-o_1259l,,,auctioned,Vacant,True,2210,,,,2820641,,,SFR,,,Pending,,YC78329,400414,,1998
2843889,,905000,2019-10-10,Gone,1,2,0,True,237258.24,905000,False,1258,/details/1066-59th-street-oakland-ca-94608-2843889-e_13599,False,0.06,auctioned,,False,1029,1066 59TH STREET,Oakland,Alameda,2843889,Occupied,CA,SFR,94608,40,Completed - Sold to 3rd Party,True,ZV1515,385373,Live,1926
2833092,,1309000,2019-10-10,Unknown,2,4,0,True,,1309000,False,1565,/details/3823-elston-ave-oakland-ca-94602-2833092-e_13599a,False,0.09,auctioned,,False,801,3823 ELSTON AVE,Oakland,Alameda,2833092,Occupied,CA,SFR,94602,23,Completed - Pending Sale Result,True,ZJ18500,414117,Live,1923
2791098,,Not Available,2019-10-11,Unknown,3,4,0,True,0.0,,False,3196,/details/73-aloha-ct-petaluma-ca-94952-2791098-e_13599a,False,1.99,auctioned,,False,152,73 ALOHA CT,Petaluma,Sonoma,2791098,Occupied,CA,SFR,94952,25,Completed - Pending Sale Result,True,ZL19500,416540,Live,1980
2807549,,1333000,2019-10-11,Unknown,3,4,0,True,,1333000,False,2218,/details/4205-star-ridge-rd-hayward-ca-94542-2807549-e_13599a,False,1.25,auctioned,,False,971,4205 STAR RIDGE RD,Hayward,Alameda,2807549,Occupied,CA,SFR,94542,44,Completed - Pending Sale Result,True,ZG17000,412622,Live,1972
2849048,,635000,2019-10-06,Sold,,,25,,,,,,/details/1648-quail-rd-west-sacramento-ca-95691-2849048-o_1260,,,auctioned,Vacant,True,3134,,,,2849048,,,SFR,,,Pending,,ZP56506,405690,,2012
2658275,,383000,2019-09-23,Unknown,2,3,0,True,,383000,False,1598,/details/9459-mammath-peak-ci-stockton-ca-95212-2658275-e_13495a,False,0.14,auctioned,,False,340,9459 MAMMATH PEAK CI,Stockton,San Joaquin,2658275,Occupied,CA,SFR,95212,29,Completed - Pending Sale Result,True,ZX25500,398431,Live,2003
