,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2806369,,649000,2019-09-24,Gone,3.0,4.0,0.0,True,450000.0,649000.0,False,3293.0,/details/515-coconut-pl-brentwood-ca-94513-2806369-e_13495,False,0.17,active,,0.0,695.0,515 COCONUT PL,Brentwood,Contra Costa,2806369,,CA,SFR,94513.0,29.0,Completed - Reverted to Beneficiary,True,AE3004,392505.0,Live,2002.0
2811756,,594000,2019-10-08,Unknown,3.0,4.0,0.0,True,400000.0,594000.0,False,2195.0,/details/1642-sycamore-dr-oakley-ca-94561-2811756-e_14119,False,0.12,active,,0.0,289.0,1642 SYCAMORE DR,Oakley,Contra Costa,2811756,Occupied,CA,SFR,94561.0,13.0,Active - Scheduled for Auction,True,ZY26004,386699.0,Live,2006.0
2807564,,530000,2019-10-30,Unknown,2.5,3.0,0.0,True,,530000.0,False,1805.0,/details/319-turnstone-circ-pittsburg-ca-94565-2807564-e_13755a,False,0.06,active,,0.0,30.0,319 TURNSTONE CIRC,Pittsburg,Contra Costa,2807564,Occupied,CA,SFR,94565.0,21.0,Active - Scheduled for Auction,True,ZW25000,416576.0,Live,2005.0
2794805,,518000,2019-10-08,Unknown,2.5,4.0,0.0,True,305000.0,518000.0,False,1799.0,/details/2013-mt-hamilton-dr-antioch-ca-94531-2794805-e_13807,False,0.11,active,,0.0,83.0,2013 MT HAMILTON DR,Antioch,Contra Costa,2794805,Occupied,CA,SFR,94531.0,25.0,Active - Scheduled for Auction,True,ZY26021,386699.0,Live,1991.0
2798762,,726000,2019-10-08,Unknown,2.5,3.0,0.0,True,345000.0,726000.0,False,1668.0,/details/2150-breaker-court-discovery-bay-ca-94505-2798762-e_13807,False,0.17,active,,0.0,197.0,2150 BREAKER COURT,Discovery Bay,Contra Costa,2798762,Occupied,CA,SFR,94505.0,21.0,Active - Scheduled for Auction,True,ZY26008,386699.0,Live,1987.0
2800003,,617000,2019-10-08,Unknown,2.0,3.0,0.0,True,340000.0,617000.0,False,2241.0,/details/917-promenade-drive-pittsburg-ca-94565-2800003-e_13911,False,0.17,active,,0.0,308.0,917 PROMENADE DRIVE,Pittsburg,Contra Costa,2800003,Occupied,CA,SFR,94565.0,24.0,Active - Scheduled for Auction,True,ZY26013,386699.0,Live,2005.0
2802653,,760000,2019-09-16,Gone,,,11.0,,,,,,/details/5003-nortonville-court-antioch-ca-94531-2802653-o_1261l,,,active,Occupied,1.0,345.0,5003 NORTONVILLE COURT,ANTIOCH,Contra Costa,2802653,,,SFR,94531,,For Sale - New Date Pending,,ZC70355,397359.0,,1999
2788729,,408000,2019-10-16,Unknown,2.0,3.0,0.0,True,180000.0,408000.0,False,2292.0,/details/1337-columbia-st-pittsburg-ca-94565-2788729-e_13911a,False,0.1,active,,0.0,29.0,1337 COLUMBIA ST,Pittsburg,Contra Costa,2788729,Occupied,CA,SFR,94565.0,37.0,Active - Scheduled for Auction,True,YO8000,406091.0,Live,1952.0
2795214,,758000,2019-11-04,Unknown,2.5,3.0,0.0,True,450000.0,758000.0,False,2732.0,/details/4701-myrtle-drive-concord-ca-94521-2795214-e_13807,False,0.51,active,,0.0,158.0,4701 MYRTLE DRIVE,Concord,Contra Costa,2795214,Occupied,CA,SFR,94521.0,35.0,Active - Scheduled for Auction,True,AE3004,394024.0,Live,1951.0
2782196,,562000,2019-11-04,Unknown,2.0,2.0,0.0,True,375000.0,562000.0,False,1079.0,/details/5252-grasswood-court-concord-ca-94521-2782196-e_13807,False,0.09,active,,0.0,240.0,5252 GRASSWOOD COURT,Concord,Contra Costa,2782196,Occupied,CA,SFR,94521.0,33.0,Active - Scheduled for Auction,True,AE3003,394024.0,Live,1985.0
2783217,,548000,2019-09-22,Not started,,,0.0,,,,,,/details/4677-stone-n-rd-bethel-island-ca-94511-2783217-o_1261,,,active,Occupied,1.0,2.0,4677 STONE N RD,Bethel Island,Contra Costa,2783217,,,SFR,94511,,For Sale,,ZA56562,401858.0,,1959
2777574,,482000,2019-09-22,Not started,,,0.0,,,,,,/details/1111-palm-ave-martinez-ca-94553-2777574-o_1261,,,active,Occupied,1.0,17.0,1111 PALM AVE,Martinez,Contra Costa,2777574,,,SFR,94553,,For Sale,,ZA56565,401858.0,,1939
2769039,,716000,2019-11-04,Unknown,2.0,5.0,0.0,True,70000.0,716000.0,False,2094.0,/details/710-28th-street-richmond-ca-94804-2769039-e_13807,False,0.11,active,,0.0,957.0,710 28TH STREET,Richmond,Contra Costa,2769039,Occupied,CA,SFR,94804.0,144.0,Active - Scheduled for Auction,True,AE3001,394024.0,Live,1911.0
2771119,,667000,2019-10-22,Unknown,4.5,5.0,0.0,True,300000.0,667000.0,False,2600.0,/details/631-brittany-court-brentwood-ca-94513-2771119-e_13703,False,0.13,active,,0.0,322.0,631 BRITTANY COURT,Brentwood,Contra Costa,2771119,Occupied,CA,SFR,94513.0,52.0,Active - Scheduled for Auction,True,AA1003,388702.0,Live,2001.0
2767853,,498000,2019-10-20,Not started,,,0.0,,,,,,/details/5255-teresa-ct-oakley-ca-94561-2767853-o_1261,,,active,Occupied,1.0,86.0,5255 TERESA CT,Oakley,Contra Costa,2767853,,,SFR,94561,,For Sale,,BU56624,414933.0,,1983
2757592,,670000,2019-09-24,Unknown,3.0,4.0,0.0,True,225000.0,670000.0,False,2297.0,/details/938-country-glen-lane-brentwood-ca-94513-2757592-e_13807,False,0.13,active,,0.0,1091.0,938 COUNTRY GLEN LANE,Brentwood,Contra Costa,2757592,Occupied,CA,SFR,94513.0,113.0,Active - Scheduled for Auction,True,AE3003,392505.0,Live,1999.0
2763854,,621000,2019-10-28,Unknown,2.0,6.0,0.0,True,,621000.0,False,2388.0,/details/234-s-5th-st-richmond-ca-94804-2763854-e_13755a,False,0.13,active,,0.0,483.0,234 S 5TH ST,Richmond,Contra Costa,2763854,Occupied,CA,Duplex,94804.0,39.0,Active - Scheduled for Auction,True,AA1000,402533.0,Live,1926.0
2755973,,497000,2019-10-08,Unknown,1.0,2.0,0.0,True,255000.0,497000.0,False,845.0,/details/2214-rheem-ave-richmond-ca-94801-2755973-e_13807,False,0.06,active,,0.0,92.0,2214 RHEEM AVE,Richmond,Contra Costa,2755973,Occupied,CA,SFR,94801.0,40.0,Active - Scheduled for Auction,True,ZY26020,386699.0,Live,1953.0
2748584,,677000,2020-01-28,Unknown,2.0,4.0,0.0,True,340000.0,677000.0,False,1215.0,/details/1374-cape-cod-way-concord-ca-94521-2748584-e_13703,False,0.14,active,,0.0,117.0,1374 CAPE COD WAY,Concord,Contra Costa,2748584,Occupied,CA,SFR,94521.0,74.0,Active - Scheduled for Auction,True,AA1000,416009.0,Live,1954.0
2734934,,1163000,2019-11-04,Unknown,2.0,4.0,0.0,True,250000.0,1163000.0,False,2166.0,/details/8-waterberry-ct-pleasant-hill-ca-94523-2734934-e_13807,False,0.23,active,,0.0,1137.0,8 WATERBERRY CT,Pleasant Hill,Contra Costa,2734934,Occupied,CA,SFR,94523.0,276.0,Active - Scheduled for Auction,True,AE3009,394024.0,Live,1970.0
2814619,,1884000,2019-11-06,Unknown,3.5,4.0,0.0,True,295000.0,1884000.0,False,3666.0,/details/120-windwalker-way-novato-ca-94945-2814619-e_13807,False,0.42,active,,0.0,802.0,120 WINDWALKER WAY,Novato,Marin,2814619,Occupied,CA,SFR,94945.0,45.0,Active - Scheduled for Auction,True,YV7500,402026.0,Live,2002.0
2798009,,2480000,2019-10-23,Unknown,5.0,4.0,0.0,True,1200000.0,2480000.0,False,3434.0,/details/1-morgan-lane-san-rafael-ca-94901-2798009-e_13703,False,0.95,active,,0.0,465.0,1 MORGAN LANE,San Rafael,Marin,2798009,Occupied,CA,SFR,94901.0,24.0,Active - Scheduled for Auction,True,ZX15001,401296.0,Live,1950.0
