auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_debt,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,occupancy_status,online_event,opening_bid,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2819174.0,418000,2019-10-11,,2.0,3.0,,1.0,,,418000.0,0.0,1470.0,/details/7767-madison-avenue-citrus-heights-ca-95610-2819174-e_13599a,0.0,0.28,,0.0,,169.0,7767 MADISON AVENUE,Citrus Heights,Sacramento,2819174.0,Occupied,CA,SFR,95610.0,13.0,,1.0,AB1500,398693.0,Live,1960.0
2798702.0,429000,2019-09-19,,3.0,4.0,,1.0,,,429000.0,0.0,2060.0,/details/8057-braemore-dr-sacramento-ca-95828-2798702-e_13443a,0.0,0.14,,0.0,,199.0,8057 BRAEMORE DR,Sacramento,Sacramento,2798702.0,Occupied,CA,SFR,95828.0,35.0,,1.0,AB1501,391834.0,Live,1985.0
2806386.0,464000,2019-11-19,,2.0,4.0,,1.0,308079.0,245000.0,464000.0,0.0,2109.0,/details/8814-boreal-way-elk-grove-ca-95758-2806386-e_13911,0.0,0.14,,0.0,245000.0,310.0,8814 BOREAL WAY,Elk Grove,Sacramento,2806386.0,,CA,SFR,95758.0,32.0,,1.0,AE3000,398278.0,Live,1990.0
1985147.0,706000,2019-09-18,,1.0,,,1.0,260061.0,210000.0,706000.0,0.0,519.0,/details/710-mariners-island-blvd-108-san-mateo-ca-94404-1985147-e_13443,0.0,0.01,,0.0,210000.0,831.0,710 MARINERS ISLAND BLVD #108,SAN MATEO,San Mateo,1985147.0,Occupied,CA,Condo,94404.0,367.0,,1.0,AG2505,385097.0,Live,1968.0
2831245.0,299000,2019-09-10,Gone,2,3,0.0,1.0,205086.0,140000.0,299000.0,0.0,1079,/details/1551-belinda-way-sacramento-ca-95822-2831245-e_13391,0.0,0.17,,0.0,140000.0,517.0,1551 BELINDA WAY,Sacramento,Sacramento,2831245,,CA,SFR,95822,17.0,Completed - Sold to 3rd Party,1.0,ZI18024,378717.0,Live,1960
2827533.0,539000,2019-09-10,Gone,3,4,0.0,1.0,362155.0,362155.0,539000.0,0.0,2587,/details/2156-peakview-avenue-sacramento-ca-95835-2827533-e_13391,0.0,0.11,,0.0,362155.0,600.0,2156 PEAKVIEW AVENUE,Sacramento,Sacramento,2827533,Occupied,CA,SFR,95835,19.0,Completed - Sold to 3rd Party,1.0,ZI18017,378717.0,Live,2003
1400466.0,3240000,2019-09-09,Gone,,,16.0,,,,,,,/details/5719-dimas-court-pleasanton-ca-94566-1400466-o_1256l,,,Occupied,1.0,,1344.0,,,,1400466,,,SFR,,,Pending,,AH78329E,394869.0,,2006
2701977.0,325000,2019-10-17,Unknown,2,4,0.0,1.0,157537.0,125000.0,325000.0,0.0,1313,/details/149-e-ingram-street-stockton-ca-95204-2701977-e_13651,0.0,0.14,,0.0,125000.0,722.0,149 E INGRAM STREET,Stockton,San Joaquin,2701977,Occupied,CA,SFR,95204,75.0,Active - Scheduled for Auction,1.0,BD15502,387484.0,Live,1950
2834589.0,375000,2019-09-10,Gone,2,3,0.0,1.0,147915.0,147915.84,375000.0,0.0,1324,/details/490-summer-garden-way-sacramento-ca-95833-2834589-e_13391,0.0,0.13,,0.0,147915.84,1720.0,490 SUMMER GARDEN WAY,Sacramento,Sacramento,2834589,Occupied,CA,SFR,95833,46.0,Completed - Sold to 3rd Party,1.0,ZI18038,378717.0,Live,2004
2677286.0,406000,2019-10-17,Unknown,2,3,0.0,1.0,290181.0,245000.0,406000.0,0.0,1647,/details/6518-crestview-circle-stockton-ca-95219-2677286-e_13651,0.0,0.11,,0.0,245000.0,468.0,6518 CRESTVIEW CIRCLE,Stockton,San Joaquin,2677286,Occupied,CA,SFR,95219,39.0,Active - Scheduled for Auction,1.0,BD15500,387484.0,Live,2004
